,nome,ativo,classes,documento,classe_pred
234,pondera-15mg-25mg,cloridrato de paroxetina,"Comprimido Revestido, Antidepressivos, Retenção - só pode ser vendido com retenção de receita, Prescrição Médica","Pondera® (cloridrato de paroxetina) é indicado para o tratamento dos Transtornos Depressivos Maiores leves, moderados e graves e acompanhados ou não por ansiedade. Pondera® (cloridrato de paroxetina) é, também, indicado para o tratamento dos sintomas do Transtorno Obsessivo Compulsivo (TOC), Transtorno de Ansiedade Social (fobia social), Transtorno do Pânico com ou sem agorafobia, Transtorno de Ansiedade Generalizada (TAG) e Transtorno de Estresse Pós-Traumático (TEPT).",0
105,acetilcisteina-xarope-40,acetilcisteína,"Xarope, Expectorantes Balsâmicos e Mucolíticos, Medicamento isento de prescrição, Genéricos","Este é um medicamento expectorante indicado quando se tem dificuldade para expectorar e há muita secreção densa e viscosa, tais como bronquite aguda, bronquite crônica e suas exacerbações (piora do quadro clínico e complicações), enfisema pulmonar (doença crônica caracterizada pelo comprometimento dos pulmões), pneumonia (inflamação nos pulmões e brônquios), colapso/atelectasias pulmonares (fechamento dos brônquios), mucoviscidose (doença hereditária que produz muco espesso, também conhecida por fibrose cística). Também é indicado para intoxicação acidental ou voluntária por paracetamol.",0
232,prednisolona-1,prednisolona,"Comprimido, Glicocorticóides Sistêmicos, Venda sob prescrição médica, Genéricos",Este medicamento é indicado como agente anti-inflamatório e imunossupressor em patologias cujos mecanismos fisiopatológicos envolvam processos inflamatórios e/ou autoimunes; para o tratamento de condições endócrinas (glândulas); e em composição de esquemas terapêuticos em algumas neoplasias.,0
107,limiar,Pregabalina,"Cápsula dura, Anticonvulsivantes, Venda sob prescrição médica, Prescrição Médica","Dor Neuropática Limiar® (pregabalina) cápsulas é indicado para o tratamento da dor neuropática em adultos. Epilepsia Limiar® (pregabalina) é indicado como terapia adjunta das crises parciais, com ou sem generalização secundária, em pacientes adultos. Transtorno de Ansiedade Generalizada (TAG) Limiar® (pregabalina) é indicadol para o tratamento do Transtorno de Ansiedade Generalizada (TAG) em adultos. Fibromialgia Limiar® (pregabalina) é indicado para o controle de fibromialgia.",0
231,esc-solucao-oral,oxalato de escitalopram),"Solução, Retenção - só pode ser vendido com retenção de receita, Prescrição Médica","Esc® (oxalato de escitalopram) é indicado para: • Tratamento e prevenção da recaída ou recorrência da depressão; • Tratamento do transtorno do pânico, com ou sem agorafobia; • Tratamento do transtorno de ansiedade generalizada (TAG); • Tratamento do transtorno de ansiedade social (fobia social); • Tratamento do transtorno obsessivo compulsivo (TOC).",0
236,gesico-duo,"37,5 mg de cloridrato de tramadol + 325,0 mg de paracetamol.","Comprimido Revestido, Analgésicos Narcóticos, Retenção - só pode ser vendido com retenção de receita","Gésico Duo (cloridrato de tramadol + paracetamol) é indicado para dores moderadas a severas de caráter agudo, subagudo e crônico.",0
109,agua-para-injetaveis,água para injetáveis,"Solução Injetável, Diluentes e Veículos de Medicamentos, Venda sob prescrição médica, Hospitalar",Indicado na diluição ou dissolução de medicamentos compatíveis com a água para injeção.,0
92,cloridrato-amitriptilina,cloridrato de amitriptilina,"Comprimido Revestido, Antidepressivos, Retenção - só pode ser vendido com retenção de receita, Genéricos",PARA QUE ESTE MEDICAMENTO É INDICADO?  O médico receitou o cloridrato de amitriptilina para tratar uma ou mais das seguintes condições: depressão e enurese noturna (urinar na cama à noite). O cloridrato de amitriptilina possui propriedades ansiolíticas e sedativas (calmantes).,0
90,risperidona,risperidona,"Comprimido Revestido, Neurolépticos, Retenção - só pode ser vendido com retenção de receita, Genéricos","PARA QUE ESTE MEDICAMENTO É INDICADO? Risperidona é um medicamento usado para tratar as assim chamadas psicoses (por exemplo, esquizofrenia). Isto significa que ele tem um efeito favorável sobre um certo número de transtornos relacionados ao pensamento, às emoções e/ou às atividades, tais como: confusão, alucinações, distúrbios da percepção (por exemplo, ouvir vozes de alguém que não está presente), desconfiança incomum, isolamento da sociedade, ser excessivamente introvertido etc. Risperidona também melhora a ansiedade, a tensão e o estado mental alterado por estes transtornos. Risperidona pode ser usado tanto em quadros de início súbito (agudos) como nos de longa duração (crônicos). Além disso, após o alívio dos sintomas, risperidona é usado para manter os distúrbios sob controle, isto é, para prevenir recaídas. A substância ativa é a risperidona. Risperidona também é usado, por até 12 semanas, em demência relacionada à doença de Alzheimer moderada a grave, especificamente para controlar agitação, agressividade ou sintomas psicóticos (tais como acreditar em coisas que não são verdadeiras, ou ver, sentir ou ouvir coisas que não existem). Outra condição para a qual você pode receber risperidona é a mania, caracterizada por sintomas como humor elevado, expansivo ou irritável, autoestima aumentada, necessidade de sono reduzida, pressão para falar, pensamento acelerado, redução da atenção e concentração ou diminuição da capacidade de julgamento, incluindo comportamentos inadequados ou agressivos. Risperidona também pode ser usado para o tratamento de irritabilidade associada ao transtorno autista, em crianças e adolescentes, incluindo sintomas de agressão a outros, como autoagressão deliberada, crises de raiva e angústia e mudança rápida de humor.",0
76,bicerto-iv,cetoprofeno,"Solução para Infusão, Anti-inflamatórios, Venda sob prescrição médica, Hospitalar","Bicerto IV (cetoprofeno) é um medicamento anti-inflamatório, analgésico e antitérmico, sendo indicado para o tratamento de inflamações e dores decorrentes de processos reumáticos (doenças que podem afetar músculos, articulações e esqueleto), traumatismos (lesão interna ou externa resultante de um agente externo) e de dores em geral. Desta forma, Bicerto IV (cetoprofeno) pode ser utilizado no tratamento da dor no pré e pós-operatório e outras patologias dolorosas.",0
262,novafibra,"Polidextrose, inulina e oligofrutose em pó","Medicamento isento de prescrição, Isento de Prescrição",As fibras alimentares auxiliam o funcionamento do intestino. Seu consumo deve estar associado a uma alimentação equilibrada e hábitos de vida saudáveis.,0
155,desogestrel-2,desogestrel,"Comprimido Revestido, Anticoncepcionais, Venda sob prescrição médica, Genéricos",PARA QUE ESTE MEDICAMENTO É INDICADO? O desogestrel é usado para evitar a gravidez,0
259,dicloridrato-de-pramipexol,dicloridrato de pramipexol,"Comprimido de Liberação Prolongada, Antiparkisonianos, Retenção - só pode ser vendido com retenção de receita, Genéricos","Este medicamento é indicado para o tratamento dos sinais e sintomas da doença de Parkinson sem causa conhecida, podendo ser usado isoladamente (sem levodopa) ou em associação com levodopa.",0
257,paco,(paracetamol + fosfato de codeína),"Comprimido, Analgésicos Narcóticos, Retenção - só pode ser vendido com retenção de receita, Prescrição Médica","Paco® (paracetamol + fosfato de codeína) é indicado para o alívio de dores de grau moderado a intenso, como nas decorrentes de traumatismo (entorses, luxações, contusões, distensões, fraturas), pós-operatório, pós-extração dentária, neuralgia, lombalgia, dores de origem articular e condições similares.",0
256,sertralina-cloridrato-de-25mg,cloridrato de sertralina,"Comprimido Revestido, Antidepressivos, Retenção - só pode ser vendido com retenção de receita, Genéricos","O cloridrato de sertralina é indicado para o tratamento de transtorno depressivo, transtorno obsessivo compulsivo (TOC), transtorno do pânico, transtorno de estresse pós-traumático, fobia social e síndrome da tensão pré-menstrual (STPM) e/ou transtorno disfórico pré-menstrual (TDPM). Em crianças e adolescentes (6 a 17 anos) está indicado apenas no tratamento do Transtorno Obsessivo Compulsivo (TOC).",0
246,gesico,Cloridrato de tramadol,"Solução, Analgésicos Narcóticos, Retenção - só pode ser vendido com retenção de receita",Gésico (cloridrato de tramadol) é indicado para tratamento da dor de intensidade moderada a grave.,0
254,cloridrato-de-venlafaxina,cloridrato de venlafaxina,"Cápsula dura, Antidepressivos, Retenção - só pode ser vendido com retenção de receita, Genéricos","Venlaxin (cloridrato de venlafaxina) está indicado para o tratamento da depressão, incluindo depressão com ansiedade associada e, para prevenção de recaída e recorrência da depressão. Também está indicado para o tratamento, incluindo tratamento a longo prazo, do transtorno de ansiedade generalizada, do transtorno de ansiedade social (também conhecido como fobia social) e do transtorno do pânico.",0
84,pregabalina,pregabalina,"Cápsula dura, Anticonvulsivantes, Retenção - só pode ser vendido com retenção de receita, Genéricos","A pregabalina é indicado para adultos para: tratamento da dor neuropática (dor devido à lesão e/ou mau funcionamento dos nervos e/ou do sistema nervoso) em adultos; como terapia adjunta das crises epiléticas parciais (convulsões), com ou sem generalização secundária em adultos; tratamento do Transtorno de Ansiedade Generalizada em adultos; controle de fibromialgia (doença caracterizada por dor crônica em várias partes do corpo, cansaço e alterações do sono) em adultos.",0
251,sonic,cloridrato de trazodona,"Comprimido Revestido, Venda sob prescrição médica, Prescrição Médica","Sonic (cloridrato de trazodona) é indicado no tratamento da depressão com ou sem episódios de ansiedade, da dor associada à neuropatia diabética e de outros tipos de dores crônicas e no tratamento da depressão maior.",0
248,antisseptico-bucal-oaz,,"Medicamento isento de prescrição, Cuidados Pessoais","Após escovação e uso do fio dental, encha a tampa até a linha contínua (20ml), faça bochechos por 30 segundos, elimine o produto da boca. Não diluir. Uso recomendado duas vezes ao dia. Uso Diário",0
247,cloridrato-de-dexmedetomidina,cloridrato de dexmedetomidina,"Solução Injetável, Hipnóticos, Retenção - só pode ser vendido com retenção de receita, Hospitalar","O cloridrato de dexmedetomidina é um sedativo (indutor de um estado calmo) indicado para uso em pacientes (com e sem ventilação mecânica) durante o tratamento intensivo (na Unidade de Terapia Intensiva, salas de cirurgia ou para procedimentos diagnósticos).",0
88,bup-xl,Cloridrato de bupropiona XL,"Antidepressivos, Retenção - só pode ser vendido com retenção de receita, Prescrição Médica",O cloridrato de bupropiona é indicado no tratamento de episódios depressivos maiores ou na prevenção de recaídas e recorrências de episódios depressivos após resposta inicial satisfatória.,0
89,esio-comprimido,esomeprazol magnésico,"Pó Liofilizado para Solução Injetável, Antiulcerosos, Venda sob prescrição médica, Prescrição Médica","Ésio® (esomeprazol magnésico) é indicado para o tratamento de doenças ácido-pépticas e alívio dos sintomas de azia, regurgitação ácida e dor epigástrica. - Doença do refluxo gastroesofágico (refluxo do estomago para o esôfago) (DRGE); - Tratamento da esofagite (inflamação do esôfago) de refluxo erosiva; - Tratamento de manutenção para prevenir a recidiva de esofagite; - Tratamento dos sintomas da DRGE, tais como: pirose/azia (queimação retroesternal), regurgitação ácida e dor epigástrica; - Pacientes que precisam de terapia contínua com antiinflamatórios não esteroidais (AINE); - Tratamento dos sintomas gastrointestinais altos associados à terapia com ao tratamento com antiinflamatórios; - Cicatrização de úlceras gástricas associadas ao tratamento com antiinflamatórios, incluindo aqueles antiinflamatórios mais novos, da classe “COX-2 seletivos”. - Prevenção de úlceras gástricas e duodenais associadas ao tratamento com antiinflamatórios, incluindo COX-2 seletivos, em pacientes com algum risco adicional; - Tratamento da úlcera duodenal associada à bactéria Helicobacter pylori; - Erradicação da bactéria Helicobacter pylori em associação com um tratamento antibacteriano adequado. - Condições patológicas hipersecretoras incluindo síndrome de Zollinger-Ellison (excesso de produção de ácido clorídrico) e hipersecreção idiopática. - Manutenção da hemostasia e prevenção de ressangramento de úlceras gástrica e duodenal após tratamento com esomeprazol sódico intravenoso.",0
252,brometo-de-rocuronio,brometo de rocurônio,"Solução Injetável, Bloqueador neuromuscular, Venda sob prescrição médica, Hospitalar","Este medicamento é indicado para ser usado juntamente com a anestesia geral para facilitar a intubação traqueal em procedimentos de rotina e indução de sequência rápida de anestesia, bem como para relaxar a musculatura esquelética durante as intervenções cirúrgicas. O brometo de rocurônio também é indicado para pessoas internadas em Unidade de Terapia Intensiva (UTI), para facilitar a intubação e a respiração artificial.",0
222,ciprofibrato,ciprofibrato,"Comprimido, Antilipêmicos, Venda sob prescrição médica, Genéricos","O ciprofibrato não deve ser utilizado nos seguintes casos: - insuficiência hepática (do fígado) severa; - insuficiência renal (dos rins) severa; - gravidez e lactação; - associação com outros fibratos (por exemplo: clorfibrato, bezafibrato, genfibrozila e fenofibrato); - alergia ao ciprofibrato ou a qualquer componente do produto; - devido à presença de lactose, esta medicação é contraindicada em pacientes com deficiência de lactase, galactosemia ou síndrome de má absorção de glicose e galactose.",0
212,atenolol-clortalidona,atenolol + clortalidona,"Comprimido, Venda sob prescrição médica, Genéricos",PARA QUE ESTE MEDICAMENTO É INDICADO? O atenolol + clortalidona está indicado para o controle da hipertensão (pressão alta).,0
210,zydena,Informação não disponível,,Este medicamento é destinado ao tratamento da disfunção erétil.,0
186,trimeb,maleato de trimebutina,"Cápsula mole, Antiespasmódicos, Venda sob prescrição médica, Prescrição Médica","O Trimeb® (maleato de trimebutina) como modulador da musculatura gastrointestinal, atua como normalizador, porém não como depressor do peristaltismo fisiológico. Este modo de ação também confere ao Trimeb (maleato de trimebutina) propriedades antiespasmódicas. Ele não apresenta relação estrutural com os antiespasmódicos do tipo anticolinérgico e com os pró-cinéticos que estimulam a liberação de acetilcolina, não possuindo os efeitos sistêmicos inerentes a essas drogas, como alterações na frequência cardíaca, pressão intraocular, etc., embora a trimebutina tenha um efeito seletivo sobre o trato digestivo semelhante à acetilcolina. A atuação sobre a função sensorial específica do tubo digestivo confere ainda ao Trimeb (maleato de trimebutina) os benefícios no controle sintomático dos processos dolorosos decorrentes das afecções motoras relacionadas a seguir: odinofagia secundária ao refluxo gastresofágico, dispepsia funcional não ulcerosa, dores e cólicas decorrentes de espasmos gastrintestinais, síndrome do cólon irritável. Os portadores de refluxo gastresofágico podem se beneficiar do efeito de esvaziamento gástrico proporcionado pelo Trimeb (maleato de trimebutina), além de seu efeito modulador sensorial, aliviando a sintomatologia dolorosa decorrente desta situação. O Trimeb (maleato de trimebutina) também está indicado no preparo para procedimentos diagnósticos radiológicos e endoscópicos, favorecendo o esvaziamento gástrico e, como isso, evitando náuseas e vômitos (no trânsito baritado superior); e na colonoscopia, para diminuição da contratilidade colônica, que costuma prejudicar a visualização neste tipo de exame.",0
140,domperidona-comprimido,domperidona,"Suspensão, Venda sob prescrição médica, Genéricos","PARA QUE ESTE MEDICAMENTO É INDICADO? Este medicamento é destinado ao tratamento de: - Síndromes dispépticas frequentemente associadas a um retardo de esvaziamento gástrico, refluxo gastroesofágico e esofagite: - sensação de empachamento epigástrico, saciedade precoce, distensão abdominal, dor abdominal alta; - eructação, flatulência; - náuseas e vômitos; - azia, queimação epigástrica com ou sem regurgitação de conteúdo gástrico. - Náuseas e vômitos de origem funcional, orgânica, infecciosa ou alimentar ou induzidas por radioterapia ou tratamento medicamentoso (anti-inflamatórios, antineoplásicos). Uma indicação específica são as náuseas e vômitos induzidos pelos agonistas dopaminérgicos usados no tratamento da Doença de Parkinson como a L-dopa e bromocriptina.",0
357,quet-xr,hemifumarato de quetiapina,"Comprimido Revestido de Liberação Prolongada, Antipsicóticos, Retenção - só pode ser vendido com retenção de receita, Prescrição Médica","Quet XR (hemifumarato de quetiapina) é indicado para: • Tratamento da esquizofrenia; • Como monoterapia ou adjuvante no tratamento dos episódios de mania e de depressão associados ao transtorno afetivo bipolar; • O alívio dos sintomas do transtorno depressivo maior, em terapia adjuvante com outro antidepressivo, quando outros medicamentos antidepressivos tenham falhado. Embora não haja evidência de que a eficácia de hemifumarato de quetiapina comprimido revestido de liberação prolongada isoladamente seja superior a outros antidepressivos, quando usado em terapia adjuvante, ele oferece uma opção de tratamento para pacientes que não responderam a tratamentos antidepressivos anteriores. Antes de iniciar o tratamento, os médicos devem considerar o perfil de segurança de hemifumarato de quetiapina comprimido revestido de liberação prolongada.",0
175,pantoprazol-comprimido,pantoprazol sódico sesqui-hidratado,"Comprimido, Venda sob prescrição médica, Genéricos","PARA QUE ESTE MEDICAMENTO É INDICADO?  •Tratamento de úlcera péptica duodenal (úlcera causada pelo ácido do estômago em contato com o revestimento do início do intestino), úlcera péptica gástrica (úlcera causada pelo ácido no estômago) e das esofagites de refluxo moderadas ou graves (doença causada pela volta do conteúdo do estômago para o esôfago), em adultos e pacientes pediátricos acima de 5 anos. Para as esofagites leves recomenda-se pantoprazol sódico sesqui-hidratado 20 mg. •Tratamento da Síndrome de Zollinger-Ellison e de outras doenças causadoras de produção exagerada de ácido pelo estômago. •Para erradicação do Helicobacter pylori (bactéria responsável pela formação de úlceras), com a finalidade de redução da taxa de recorrência de úlcera gástrica ou duodenal causadas por este microrganismo. Neste caso, deve ser associado a dois antibióticos adequados (vide item 6. COMO DEVO USAR ESTE MEDICAMENTO?).",0
173,hemifumarato-de-quetiapina,hemifumarato de quetiapina,"Comprimido Revestido, Antipsicóticos, Retenção - só pode ser vendido com retenção de receita, Genéricos","Em adultos, hemifumarato de quetiapina é indicado para o tratamento da esquizofrenia, como monoterapia ou adjuvante no tratamento dos episódios de mania associados ao transtorno afetivo bipolar, dos episódios de depressão associados ao transtorno afetivo bipolar, no tratamento de manutenção do transtorno afetivo bipolar I (episódios maníaco, misto ou depressivo) em combinação com os estabilizadores de humor lítio ou valproato, e como monoterapia no tratamento de manutenção no transtorno afetivo bipolar (episódios de mania, mistos e depressivos). Em adolescentes (13 a 17 anos), hemifumarato de quetiapina é indicado para o tratamento da esquizofrenia. Em crianças e adolescentes (10 a 17 anos), hemifumarato de quetiapina é indicado como monoterapia ou adjuvante no tratamento dos episódios de mania associados ao transtorno afetivo bipolar.",0
144,carbonato-de-litio,carbonato de lítio,"Comprimido Revestido, Neurolépticos, Retenção - só pode ser vendido com retenção de receita, Genéricos","Este medicamento é indicado no tratamento de episódios maníacos nos transtornos bipolares; no tratamento de manutenção de indivíduos com transtorno bipolar, diminuindo a frequência dos episódios maníacos e a intensidade destes quadros; na prevenção da mania recorrente; prevenção da fase depressiva e tratamento de hiperatividade psicomotora. O carbonato de lítio é indicado como adjunto aos antidepressivos na depressão recorrente grave, como um suplemento para o tratamento antidepressivo na depressão maior aguda, quando o paciente não obtém resposta total, após uso de antidepressivo clássico em dose efetiva, por 4 a 6 semanas. Nesses casos, a associação com carbonato de lítio potencializará o tratamento. A duração do tratamento varia muito, pois cada pessoa responde de forma diferente ao tratamento. Seu médico avaliará o tempo necessário para utilização de carbonato de lítio.",0
187,cetoconazol-dipropionato-de-betametasona-sulfato-de-neomicina-creme,cetoconazol + dipropionato de betametasona,"Creme, Glicocorticóides Tópicos - Associação Medicamentosa, Venda sob prescrição médica, Genéricos",Este medicamento é destinado ao tratamento de micoses (doenças inflamatórias da pele) que foram afetadas ou possam ser afetadas por fungos ou leveduras.,0
171,attenze-10mg,cloridrato de metilfenidato,"Comprimido, Antipsicóticos, Venda sob prescrição médica, Prescrição Médica, Concentração, foco, produtividade, atenção, falta de atenção, desatenção, desatento, hiperativo , agitação, aumentar a produtividade, aumentar o foco, mais concentração, melhorar a concentração, hiperatividade, TDAH, transtorno do Déficit de Atenção com Hiperatividade, Déficit de Atenção, criança agitada, impulsividade, desorganização, hiperativo-impulsivo","Transtorno de déficit de atenção/hiperatividade (TDAH) O TDAH era anteriormente conhecido como distúrbio de déficit de atenção ou disfunção cerebral mínima. Outros termos utilizados para descrever essa síndrome comportamental incluem: distúrbio hipercinético, lesão cerebral mínima, disfunção cerebral mínima, disfunção cerebral menor e síndrome psicorgânica dos pacientes. O Attenze® (cloridrato de metilfenidato) é indicado como parte de um programa de tratamento amplo que tipicamente inclui medidas psicológicas, educacionais e sociais, direcionadas a pacientes estáveis com uma síndrome comportamental caracterizada por distractibilidade moderada a grave, déficit de atenção, hiperatividade, labilidade emocional e impulsividade. O diagnóstico deve ser feito de acordo com o critério DSM-IV ou com as normas na CID-10. Os sinais neurológicos não localizáveis (fracos), a deficiência de aprendizado e EEG anormal podem ou não estar presentes e um diagnóstico de disfunção do sistema nervoso central pode ou não ser assegurado. Considerações especiais sobre o diagnóstico de TDAH em crianças: A etiologia específica dessa síndrome é desconhecida e não há teste diagnóstico específico. O diagnóstico correto requer uma investigação médica, neuropsicológica, educacional e social. As características comumente relatadas incluem: história de déficit de atenção, distractibilidade, labilidade emocional, impulsividade, hiperatividade moderada a grave, sinais neurológicos menores e EEG anormal. O aprendizado pode ou não estar prejudicado. O diagnóstico deve ser baseado na história e avaliação completas da criança e não apenas na presença de uma ou mais dessas características. O tratamento medicamentoso não é indicado para todas as crianças com esta síndrome. Os estimulantes não são indicados a crianças que apresentam sintomas secundários a fatores ambientais (em particular, crianças submetidas a maus tratos) e/ou distúrbios psiquiátricos primários, incluindo-se psicoses. Uma orientação educacional apropriada é essencial e a intervenção psicossocial é geralmente necessária. Nos locais em que medidas corretivas isoladas forem comprovadamente insuficientes, a decisão de se prescrever um estimulante deverá ser baseada na determinação rigorosa da gravidade dos sintomas da criança. Considerações especiais sobre o diagnóstico de TDAH em adultos: A etiologia específica da síndrome é desconhecida, e não há teste de diagnóstico único. Adultos com TDAH têm padrões de sintomas caracterizados por mudança constante de atividades, tornando-se entediados facilmente, agitação, impaciência e desatenção. Sintomas como hiperatividade tendem a diminuir com o aumento da idade, possivelmente devido à adaptação, neurodesenvolvimento e automedicação. Sintomas de desatenção são mais importantes e têm um impacto maior em adultos com TDAH. O diagnóstico em adultos deve incluir uma entrevista estruturada do paciente para determinar os sintomas atuais. A pré-existência de TDAH na infância deve ser determinada retrospectivamente. O diagnóstico não deve ser feito apenas na presença de um ou mais sintomas. A decisão de usar um estimulante em adultos deve ser baseada em uma avaliação completa da gravidade e cronicidade dos sintomas e seu impacto sobre a rotina do paciente. Narcolepsia Apenas o Attenze® (cloridrato de metilfenidato) é indicado no tratamento da narcolepsia. Os sintomas incluem sonolência durante o dia, episódios de sono inapropriados e ocorrência súbita de perda do tônus muscular voluntário.",0
149,prednisolona-3,fosfato sódico de prednisolona,"Solução, Glicocorticóides Sistêmicos, Venda sob prescrição médica, Genéricos",PARA QUE ESTE MEDICAMENTO É INDICADO? Este medicamento é indicado como agente anti-inflamatório e imunossupressor em patologias cujos mecanismos fisiopatológicos envolvam processos inflamatórios e/ou autoimunes; para o tratamento de condições endócrinas (das glândulas); e em composição de esquemas terapêuticos em algumas neoplasias.,0
150,perlatte,Lactase,"Medicamento isento de prescrição, Isento de Prescrição",A lactase auxilia a digestão da lactose presente nos alimentos. Seu consumo deve estar associado a uma alimentação equilibrada e hábitos de vida saudáveis,0
